rank,entry,pass_rate,exact_rate,total
1,google/gemma-4-31b-it (unconstrained),72.34,31.91,94
2,openai/gpt-oss-20b (constrained),68.09,0.00,282
3,google/gemma-4-26B-A4B-it (constrained),52.84,0.00,282
4,Qwen/Qwen3.6-27B (constrained),50.00,0.00,4
5,Qwen/Qwen3.5-9B (constrained),48.76,0.00,283
6,openai/gpt-5.4-mini (unconstrained),47.87,22.34,94
7,google/gemma-4-E4B-it (constrained),46.10,0.00,282
8,qwen/qwen3.5-35b-a3b (unconstrained),32.98,17.02,94
9,openai/gpt-5.3-codex (unconstrained),8.51,6.38,94
10,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B (constrained),4.26,0.00,282
11,openai/gpt-oss-20b (unconstrained raw),0.00,0.00,29
12,anthropic/claude-4.5-haiku (unconstrained),0.00,0.00,94
13,google/gemini-3.0-flash-latest (unconstrained),0.00,0.00,94
