backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:boolean,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.55
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.76
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_application,4,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,2.75,0.87
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_arithmetic,7,0.0,0.0,0.0,0.0,0.0,85.71,14.29,0.0,0.0,2.0,0.68
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_closure,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.25
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_composition,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.64
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_constant,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.57
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_float,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.91
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_higher_order,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.66
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:assignment,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.04
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:boolean,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.04
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:branching,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.09
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:loops,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.02
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:mixed_control,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.16
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:nested_branching,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.11
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:sequence,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.12
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:while_loop,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.08
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_application,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_argument_order,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_choice,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,3.5,0.4
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_composition,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.08
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_continuation,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.09
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_contraction,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_eta,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.19
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_function_result,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.32
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_higher_order,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_identity,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.21
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_modus_ponens,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.04
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_projection,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_repetition,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_substitution,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.12
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,stlc:logic_weakening,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,fun:function,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,30.0,2.79
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,fun:function_application,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.6
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,fun:function_arithmetic,2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,36.5,2.8
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,fun:function_composition,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,75.0,339.95
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,fun:function_constant,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.0,9.11
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,fun:function_float,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.0,297.27
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,imp:assignment,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,75.0,4.75
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,imp:boolean,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,98.0,5.05
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,imp:branching,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,257.5,15.11
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,imp:loops,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,180.0,11.81
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,imp:nested_branching,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.26
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,imp:sequence,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.09
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,imp:while_loop,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2.3
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_application,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.23
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_argument_order,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.86
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_choice,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.83
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_composition,2,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,112.0,6.39
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_contraction,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.84
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_identity,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.9
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_modus_ponens,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.86
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_projection,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.82
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,stlc:logic_weakening,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.83
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:boolean,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,51.5,1.82
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,124.0,4.14
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,fun:function_application,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,132.0,4.4
