backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:boolean,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function_application,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function_arithmetic,12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function_closure,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function_composition,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function_constant,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function_float,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61
openrouter,anthropic/claude-4.5-haiku,unconstrained,fun,fun:function_higher_order,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:arithmetic,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:assignment,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:boolean,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:branching,6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:loops,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:mixed_control,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:nested_branching,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:sequence,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04
openrouter,anthropic/claude-4.5-haiku,unconstrained,imp,imp:while_loop,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_application,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_argument_order,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_choice,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_composition,6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_continuation,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_contraction,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_elimination,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_eta,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_function_result,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_higher_order,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_identity,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_modus_ponens,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_pipeline,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_projection,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_repetition,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_substitution,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28
openrouter,anthropic/claude-4.5-haiku,unconstrained,stlc,stlc:logic_weakening,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:boolean,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function_application,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function_arithmetic,12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function_closure,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function_composition,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function_constant,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function_float,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45
openrouter,google/gemini-3.0-flash-latest,unconstrained,fun,fun:function_higher_order,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:arithmetic,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:assignment,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:boolean,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:branching,6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:loops,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:mixed_control,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:nested_branching,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:sequence,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68
openrouter,google/gemini-3.0-flash-latest,unconstrained,imp,imp:while_loop,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_application,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_argument_order,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_choice,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_composition,6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_continuation,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_contraction,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_elimination,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_eta,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_function_result,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_higher_order,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_identity,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_modus_ponens,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_pipeline,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_projection,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_repetition,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_substitution,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68
openrouter,google/gemini-3.0-flash-latest,unconstrained,stlc,stlc:logic_weakening,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:boolean,2,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,2.06
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function,4,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,5.39
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function_application,4,25.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,36.75,7.96
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function_arithmetic,12,66.67,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.08,6.7
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function_closure,2,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,62.5,2.88
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function_composition,2,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.87
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function_constant,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.08
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function_float,4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,32.5,4.2
openrouter,google/gemma-4-31b-it,unconstrained,fun,fun:function_higher_order,2,50.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,43.0,9.36
openrouter,google/gemma-4-31b-it,unconstrained,imp,imp:arithmetic,2,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,21.0,3.96
