backend,model,language,category,unconstrained_mode,constrained_exact,unconstrained_exact,exact_delta,constrained_pass_rate,unconstrained_pass_rate,pass_rate_delta,constrained_parse_error,unconstrained_parse_error,parse_error_delta,constrained_non_completable,unconstrained_non_completable
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:boolean,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_application,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_arithmetic,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_closure,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_composition,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_constant,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_float,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_higher_order,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:arithmetic,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:assignment,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:boolean,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:branching,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:loops,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
