backend,model,mode,language,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained_raw,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,fun,33,0.0,0.0,0.0,0.0,93.94,6.06,0.0,0.0,0.0,57.82,2.04
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,28,10.71,17.86,17.86,0.0,67.86,0.0,14.29,0.0,0.0,32.0,1.21
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,33,3.03,9.09,9.09,0.0,66.67,3.03,21.21,0.0,0.0,15.18,0.67
local,Qwen/Qwen3.5-1.5B,unconstrained_raw,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,unconstrained_raw,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,unconstrained_raw,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-2B,unconstrained_raw,fun,33,0.0,6.06,6.06,0.0,93.94,0.0,0.0,0.0,0.0,43.76,1.62
local,Qwen/Qwen3.5-2B,unconstrained_raw,imp,28,7.14,10.71,10.71,0.0,64.29,3.57,21.43,0.0,0.0,31.57,1.21
local,Qwen/Qwen3.5-2B,unconstrained_raw,stlc,33,6.06,12.12,12.12,0.0,72.73,0.0,15.15,0.0,0.0,11.55,0.56
local,Qwen/Qwen3.5-4B,unconstrained_raw,fun,33,0.0,3.03,3.03,0.0,81.82,15.15,0.0,0.0,0.0,38.94,1.98
local,Qwen/Qwen3.5-4B,unconstrained_raw,imp,28,10.71,32.14,32.14,0.0,53.57,3.57,10.71,0.0,0.0,48.32,2.39
local,Qwen/Qwen3.5-4B,unconstrained_raw,stlc,33,0.0,12.12,12.12,0.0,48.48,33.33,6.06,0.0,0.0,45.06,2.22
local,Qwen/Qwen3.5-4B-Base,unconstrained_raw,fun,33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,76.33,3.62
local,Qwen/Qwen3.5-4B-Base,unconstrained_raw,imp,28,14.29,28.57,28.57,0.0,53.57,3.57,14.29,0.0,0.0,46.64,2.31
local,Qwen/Qwen3.5-4B-Base,unconstrained_raw,stlc,33,9.09,12.12,12.12,0.0,81.82,0.0,6.06,0.0,0.0,48.94,2.4
local,Qwen/Qwen3.5-9B,unconstrained_raw,fun,33,18.18,36.36,36.36,0.0,57.58,0.0,6.06,0.0,0.0,33.94,1.82
local,Qwen/Qwen3.5-9B,unconstrained_raw,imp,28,14.29,46.43,46.43,0.0,39.29,0.0,14.29,0.0,0.0,36.82,1.93
local,Qwen/Qwen3.5-9B,unconstrained_raw,stlc,33,30.3,78.79,78.79,0.0,15.15,0.0,6.06,0.0,0.0,25.09,1.39
local,Qwen/Qwen3.5-9B-Base,unconstrained_raw,fun,33,9.09,15.15,15.15,0.0,84.85,0.0,0.0,0.0,0.0,41.27,2.13
local,Qwen/Qwen3.5-9B-Base,unconstrained_raw,imp,28,10.71,28.57,28.57,0.0,64.29,0.0,7.14,0.0,0.0,29.39,1.58
local,Qwen/Qwen3.5-9B-Base,unconstrained_raw,stlc,33,18.18,36.36,36.36,0.0,36.36,15.15,12.12,0.0,0.0,22.55,1.29
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,unconstrained_raw,fun,33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,114.58,2.61
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,unconstrained_raw,imp,28,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,108.39,2.46
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,unconstrained_raw,stlc,33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,70.91,1.62
local,microsoft/Phi-4-mini-instruct,unconstrained_raw,fun,33,3.03,21.21,21.21,0.0,72.73,6.06,0.0,0.0,0.0,48.52,1.32
local,microsoft/Phi-4-mini-instruct,unconstrained_raw,imp,28,3.57,3.57,3.57,0.0,96.43,0.0,0.0,0.0,0.0,83.21,2.23
local,microsoft/Phi-4-mini-instruct,unconstrained_raw,stlc,33,0.0,3.03,3.03,0.0,90.91,3.03,3.03,0.0,0.0,57.85,1.56
