backend,model,mode,language,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_direct,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_direct,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,69.7,6.06,0.0,24.24,0.76,0.52
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,28,0.0,0.0,0.0,0.0,0.0,71.43,0.0,0.0,28.57,0.0,0.06
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,33,0.0,0.0,0.0,0.0,0.0,66.67,3.03,0.0,30.3,0.21,0.08
local,Qwen/Qwen3.5-1.5B,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_direct,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_direct,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-2B,constrained_direct,fun,33,0.0,33.33,33.33,0.0,0.0,33.33,33.33,0.0,0.0,49.85,82.31
local,Qwen/Qwen3.5-2B,constrained_direct,imp,28,0.0,21.43,21.43,0.0,0.0,35.71,42.86,0.0,0.0,51.39,25.64
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,33,0.0,30.3,30.3,0.0,0.0,21.21,48.48,0.0,0.0,17.03,24.58
local,Qwen/Qwen3.5-4B,constrained_direct,fun,33,0.0,33.33,33.33,0.0,0.0,30.3,21.21,0.0,15.15,41.45,76.68
local,Qwen/Qwen3.5-4B,constrained_direct,imp,28,0.0,21.43,21.43,0.0,0.0,10.71,50.0,0.0,17.86,37.5,2.53
local,Qwen/Qwen3.5-4B,constrained_direct,stlc,33,0.0,3.03,3.03,0.0,0.0,66.67,12.12,0.0,18.18,41.7,154.6
local,Qwen/Qwen3.5-4B-Base,constrained_direct,fun,33,0.0,48.48,48.48,0.0,0.0,18.18,18.18,0.0,15.15,22.97,62.74
local,Qwen/Qwen3.5-4B-Base,constrained_direct,imp,28,0.0,14.29,14.29,0.0,0.0,21.43,46.43,0.0,17.86,42.82,2.99
local,Qwen/Qwen3.5-4B-Base,constrained_direct,stlc,33,0.0,36.36,36.36,0.0,0.0,12.12,36.36,0.0,15.15,19.7,13.13
local,Qwen/Qwen3.5-9B,constrained_direct,fun,33,0.0,21.21,21.21,0.0,0.0,48.48,30.3,0.0,0.0,67.09,93.91
local,Qwen/Qwen3.5-9B,constrained_direct,imp,28,0.0,28.57,28.57,0.0,0.0,7.14,64.29,0.0,0.0,31.89,6.34
local,Qwen/Qwen3.5-9B,constrained_direct,stlc,33,0.0,12.12,12.12,0.0,0.0,60.61,27.27,0.0,0.0,41.97,194.58
local,Qwen/Qwen3.5-9B-Base,constrained_direct,fun,33,0.0,57.58,57.58,0.0,0.0,15.15,27.27,0.0,0.0,20.79,47.49
local,Qwen/Qwen3.5-9B-Base,constrained_direct,imp,28,0.0,25.0,25.0,0.0,0.0,17.86,57.14,0.0,0.0,44.25,2.96
local,Qwen/Qwen3.5-9B-Base,constrained_direct,stlc,33,0.0,72.73,72.73,0.0,0.0,6.06,21.21,0.0,0.0,15.85,1.2
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.76,53.59
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_direct,imp,28,0.0,3.57,3.57,0.0,0.0,67.86,28.57,0.0,0.0,34.21,90.05
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_direct,stlc,33,0.0,0.0,0.0,0.0,0.0,75.76,24.24,0.0,0.0,68.76,37.24
local,microsoft/Phi-4-mini-instruct,constrained_direct,fun,33,0.0,45.45,45.45,0.0,0.0,27.27,27.27,0.0,0.0,41.0,65.59
local,microsoft/Phi-4-mini-instruct,constrained_direct,imp,28,0.0,28.57,28.57,0.0,0.0,14.29,57.14,0.0,0.0,37.5,10.83
local,microsoft/Phi-4-mini-instruct,constrained_direct,stlc,33,0.0,18.18,18.18,0.0,0.0,69.7,12.12,0.0,0.0,36.61,202.45
