backend,model,mode,language,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_mixed,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_mixed,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_mixed,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,33,0.0,3.03,3.03,51.52,0.0,9.09,9.09,0.0,27.27,10.42,20.19
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,28,0.0,10.71,10.71,42.86,0.0,17.86,0.0,0.0,28.57,36.5,2.17
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,33,0.0,9.09,9.09,45.45,0.0,3.03,18.18,0.0,24.24,9.48,0.63
local,Qwen/Qwen3.5-1.5B,constrained_mixed,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_mixed,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_mixed,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,33,0.0,21.21,21.21,45.45,0.0,18.18,15.15,0.0,0.0,23.91,17.28
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,28,0.0,7.14,7.14,10.71,0.0,35.71,46.43,0.0,0.0,81.89,6.86
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,33,0.0,33.33,33.33,9.09,0.0,24.24,33.33,0.0,0.0,19.82,58.08
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,33,0.0,36.36,36.36,0.0,0.0,33.33,12.12,0.0,18.18,1422.76,132.29
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,28,0.0,17.86,17.86,0.0,0.0,17.86,46.43,0.0,17.86,1022.57,65.84
local,Qwen/Qwen3.5-4B,constrained_mixed,stlc,33,0.0,75.76,75.76,0.0,0.0,3.03,6.06,0.0,15.15,910.03,50.58
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,fun,33,0.0,9.09,9.09,0.0,0.0,45.45,30.3,0.0,15.15,988.64,95.92
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,imp,28,0.0,17.86,17.86,0.0,0.0,3.57,60.71,0.0,17.86,737.21,51.67
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,stlc,33,0.0,54.55,54.55,0.0,0.0,27.27,3.03,0.0,15.15,419.88,90.62
local,Qwen/Qwen3.5-9B,constrained_mixed,fun,33,0.0,51.52,51.52,0.0,0.0,24.24,24.24,0.0,0.0,1418.85,116.19
local,Qwen/Qwen3.5-9B,constrained_mixed,imp,28,0.0,35.71,35.71,0.0,0.0,10.71,53.57,0.0,0.0,726.29,35.02
local,Qwen/Qwen3.5-9B,constrained_mixed,stlc,33,0.0,96.97,96.97,0.0,0.0,3.03,0.0,0.0,0.0,617.09,49.64
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,fun,33,0.0,33.33,33.33,0.0,0.0,33.33,33.33,0.0,0.0,869.61,113.97
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,imp,28,0.0,28.57,28.57,0.0,0.0,7.14,64.29,0.0,0.0,574.86,27.78
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,stlc,33,0.0,96.97,96.97,0.0,0.0,3.03,0.0,0.0,0.0,409.55,19.89
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_mixed,fun,33,0.0,3.03,3.03,0.0,0.0,93.94,3.03,0.0,0.0,636.18,97.16
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_mixed,imp,28,0.0,10.71,10.71,0.0,0.0,46.43,42.86,0.0,0.0,624.04,80.97
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_mixed,stlc,33,0.0,0.0,0.0,0.0,0.0,72.73,27.27,0.0,0.0,690.67,36.75
local,microsoft/Phi-4-mini-instruct,constrained_mixed,fun,33,0.0,15.15,15.15,0.0,0.0,45.45,39.39,0.0,0.0,155.3,114.18
local,microsoft/Phi-4-mini-instruct,constrained_mixed,imp,28,0.0,35.71,35.71,0.0,0.0,25.0,39.29,0.0,0.0,168.0,5.96
local,microsoft/Phi-4-mini-instruct,constrained_mixed,stlc,33,0.0,27.27,27.27,0.0,0.0,57.58,15.15,0.0,0.0,118.18,65.02
