backend,model,mode,language,attempts,pass_rate,exact_rate,parse_error_rate,semantic_mismatch_rate,incomplete_rate,non_completable_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds,model_params_b
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,33,0.0,0.0,0.0,12.12,87.88,0.0,0.0,0.0,26.45,4.43,0.8
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,28,14.29,0.0,0.0,57.14,28.57,0.0,0.0,0.0,23.79,1.12,0.8
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,33,15.15,0.0,0.0,60.61,24.24,0.0,0.0,0.0,9.0,1.13,0.8
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,33,6.06,0.0,0.0,21.21,72.73,0.0,0.0,0.0,208.48,40.09,0.8
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,28,10.71,0.0,0.0,71.43,17.86,0.0,0.0,0.0,89.93,5.62,0.8
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,33,18.18,0.0,0.0,72.73,9.09,0.0,0.0,0.0,15.88,1.7,0.8
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,33,0.0,0.0,0.0,12.12,0.0,87.88,0.0,0.0,106.42,3.58,0.8
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,28,0.0,0.0,0.0,14.29,0.0,85.71,0.0,0.0,114.04,3.82,0.8
local,Qwen/Qwen3.5-0.8B,unconstrained,stlc,33,3.03,3.03,0.0,18.18,0.0,78.79,0.0,0.0,61.15,2.13,0.8
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,fun,33,0.0,0.0,0.0,0.0,6.06,93.94,0.0,0.0,57.82,2.04,0.8
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,28,17.86,10.71,0.0,14.29,0.0,67.86,0.0,0.0,32.0,1.21,0.8
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,33,9.09,3.03,0.0,21.21,3.03,66.67,0.0,0.0,15.18,0.67,0.8
local,Qwen/Qwen3.5-2B,constrained_direct,fun,33,33.33,0.0,0.0,33.33,33.33,0.0,0.0,0.0,49.85,82.31,2.0
local,Qwen/Qwen3.5-2B,constrained_direct,imp,28,21.43,0.0,0.0,42.86,35.71,0.0,0.0,0.0,51.39,25.64,2.0
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,33,30.3,0.0,0.0,48.48,21.21,0.0,0.0,0.0,17.03,24.58,2.0
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,33,36.36,0.0,0.0,21.21,42.42,0.0,0.0,0.0,39.03,18.61,2.0
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,28,10.71,0.0,0.0,82.14,7.14,0.0,0.0,0.0,64.96,4.68,2.0
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,33,45.45,0.0,0.0,36.36,18.18,0.0,0.0,0.0,20.61,28.62,2.0
local,Qwen/Qwen3.5-2B,unconstrained,fun,33,6.06,3.03,0.0,48.48,3.03,42.42,0.0,0.0,122.03,4.17,2.0
local,Qwen/Qwen3.5-2B,unconstrained,imp,28,3.57,3.57,0.0,17.86,0.0,78.57,0.0,0.0,124.89,4.25,2.0
local,Qwen/Qwen3.5-2B,unconstrained,stlc,33,15.15,6.06,0.0,27.27,0.0,57.58,0.0,0.0,73.24,2.54,2.0
local,Qwen/Qwen3.5-2B,unconstrained_raw,fun,33,6.06,0.0,0.0,0.0,0.0,93.94,0.0,0.0,43.76,1.62,2.0
local,Qwen/Qwen3.5-2B,unconstrained_raw,imp,28,10.71,7.14,0.0,21.43,3.57,64.29,0.0,0.0,31.57,1.21,2.0
local,Qwen/Qwen3.5-2B,unconstrained_raw,stlc,33,12.12,6.06,0.0,15.15,0.0,72.73,0.0,0.0,11.55,0.56,2.0
local,Qwen/Qwen3.5-4B,constrained_direct,fun,33,42.42,0.0,0.0,27.27,30.3,0.0,0.0,0.0,43.06,67.49,4.0
local,Qwen/Qwen3.5-4B,constrained_direct,imp,28,28.57,0.0,0.0,60.71,10.71,0.0,0.0,0.0,37.32,2.54,4.0
local,Qwen/Qwen3.5-4B,constrained_direct,stlc,33,27.27,0.0,3.03,18.18,51.52,0.0,0.0,0.0,38.64,110.67,4.0
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,33,51.52,0.0,0.0,24.24,24.24,0.0,0.0,0.0,1807.0,139.9,4.0
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,28,25.0,0.0,0.0,64.29,10.71,0.0,0.0,0.0,1199.5,78.24,4.0
local,Qwen/Qwen3.5-4B,constrained_mixed,stlc,33,90.91,0.0,0.0,9.09,0.0,0.0,0.0,0.0,1107.45,63.6,4.0
local,Qwen/Qwen3.5-4B,unconstrained,fun,33,9.09,0.0,0.0,39.39,0.0,51.52,0.0,0.0,103.21,4.81,4.0
local,Qwen/Qwen3.5-4B,unconstrained,imp,28,7.14,0.0,0.0,7.14,0.0,85.71,0.0,0.0,100.43,4.67,4.0
local,Qwen/Qwen3.5-4B,unconstrained,stlc,33,69.7,18.18,0.0,12.12,0.0,18.18,0.0,0.0,61.06,2.92,4.0
local,Qwen/Qwen3.5-4B,unconstrained_raw,fun,33,3.03,0.0,0.0,0.0,15.15,81.82,0.0,0.0,38.94,1.98,4.0
