mode,language,pass_rate,parse_error_rate,semantic_mismatch_rate
constrained_direct,fun,35.93,0.00,25.54
constrained_direct,imp,22.96,0.00,56.12
constrained_direct,stlc,32.90,0.43,31.17
constrained_mixed,fun,46.83,0.00,23.41
constrained_mixed,imp,31.07,0.00,60.72
constrained_mixed,stlc,75.15,0.00,13.64
unconstrained,fun,25.32,3.25,23.16
unconstrained,imp,13.52,2.30,13.52
unconstrained,stlc,52.81,2.38,8.87
unconstrained_raw,fun,25.17,0.00,2.10
unconstrained_raw,imp,29.46,0.00,17.56
unconstrained_raw,stlc,39.14,0.00,6.06
