backend,model,language,unconstrained_mode,constrained_exact,unconstrained_exact,exact_delta,constrained_pass_rate,unconstrained_pass_rate,pass_rate_delta,constrained_parse_error,unconstrained_parse_error,parse_error_delta,constrained_non_completable,unconstrained_non_completable
local,Qwen/Qwen3.5-0.8B,fun,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.94
local,Qwen/Qwen3.5-0.8B,imp,unconstrained_raw,0.0,10.71,-10.71,0.0,17.86,-17.86,0.0,0.0,0.0,0.0,67.86
local,Qwen/Qwen3.5-0.8B,stlc,unconstrained_raw,0.0,3.03,-3.03,0.0,9.09,-9.09,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-2B,fun,unconstrained_raw,0.0,0.0,0.0,33.33,6.06,27.27,0.0,0.0,0.0,0.0,93.94
local,Qwen/Qwen3.5-2B,imp,unconstrained_raw,0.0,7.14,-7.14,21.43,10.71,10.72,0.0,0.0,0.0,0.0,64.29
local,Qwen/Qwen3.5-2B,stlc,unconstrained_raw,0.0,6.06,-6.06,30.3,12.12,18.18,0.0,0.0,0.0,0.0,72.73
local,Qwen/Qwen3.5-4B,fun,unconstrained_raw,0.0,0.0,0.0,39.29,3.03,36.26,0.0,0.0,0.0,0.0,81.82
local,Qwen/Qwen3.5-4B,imp,unconstrained_raw,0.0,10.71,-10.71,26.09,32.14,-6.05,0.0,0.0,0.0,0.0,53.57
local,Qwen/Qwen3.5-4B,stlc,unconstrained_raw,0.0,0.0,0.0,3.7,12.12,-8.42,0.0,0.0,0.0,0.0,48.48
local,Qwen/Qwen3.5-4B-Base,fun,unconstrained_raw,0.0,0.0,0.0,57.14,0.0,57.14,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,imp,unconstrained_raw,0.0,14.29,-14.29,17.39,28.57,-11.18,0.0,0.0,0.0,0.0,53.57
local,Qwen/Qwen3.5-4B-Base,stlc,unconstrained_raw,0.0,9.09,-9.09,42.86,12.12,30.74,0.0,0.0,0.0,0.0,81.82
local,Qwen/Qwen3.5-9B,fun,unconstrained_raw,0.0,18.18,-18.18,21.21,36.36,-15.15,0.0,0.0,0.0,0.0,57.58
local,Qwen/Qwen3.5-9B,imp,unconstrained_raw,0.0,14.29,-14.29,28.57,46.43,-17.86,0.0,0.0,0.0,0.0,39.29
local,Qwen/Qwen3.5-9B,stlc,unconstrained_raw,0.0,30.3,-30.3,12.12,78.79,-66.67,0.0,0.0,0.0,0.0,15.15
local,Qwen/Qwen3.5-9B-Base,fun,unconstrained_raw,0.0,9.09,-9.09,57.58,15.15,42.43,0.0,0.0,0.0,0.0,84.85
local,Qwen/Qwen3.5-9B-Base,imp,unconstrained_raw,0.0,10.71,-10.71,25.0,28.57,-3.57,0.0,0.0,0.0,0.0,64.29
local,Qwen/Qwen3.5-9B-Base,stlc,unconstrained_raw,0.0,18.18,-18.18,72.73,36.36,36.37,0.0,0.0,0.0,0.0,36.36
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,unconstrained_raw,0.0,0.0,0.0,3.57,0.0,3.57,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,microsoft/Phi-4-mini-instruct,fun,unconstrained_raw,0.0,3.03,-3.03,45.45,21.21,24.24,0.0,0.0,0.0,0.0,72.73
local,microsoft/Phi-4-mini-instruct,imp,unconstrained_raw,0.0,3.57,-3.57,28.57,3.57,25.0,0.0,0.0,0.0,0.0,96.43
local,microsoft/Phi-4-mini-instruct,stlc,unconstrained_raw,0.0,0.0,0.0,18.18,3.03,15.15,0.0,0.0,0.0,0.0,90.91
