backend,model,language,constrained_exact,unconstrained_exact,exact_delta,constrained_pass_rate,unconstrained_pass_rate,pass_rate_delta,constrained_parse_error,unconstrained_parse_error,parse_error_delta,constrained_non_completable,unconstrained_non_completable
local,Ministral-3-8B-Instruct-2512-GGUF,fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,stlc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.88
local,Qwen/Qwen3.5-0.8B,imp,0.0,0.0,0.0,3.57,0.0,3.57,0.0,0.0,0.0,0.0,85.71
local,Qwen/Qwen3.5-0.8B,stlc,0.0,3.03,-3.03,6.06,3.03,3.03,0.0,0.0,0.0,0.0,78.79
local,Qwen/Qwen3.5-1.5B,fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,imp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,stlc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-2B,fun,0.0,3.03,-3.03,0.0,6.06,-6.06,0.0,0.0,0.0,0.0,42.42
local,Qwen/Qwen3.5-2B,imp,0.0,3.57,-3.57,3.57,3.57,0.0,0.0,0.0,0.0,0.0,78.57
local,Qwen/Qwen3.5-2B,stlc,0.0,6.06,-6.06,9.09,15.15,-6.06,0.0,0.0,0.0,0.0,57.58
local,Qwen/Qwen3.5-4B,fun,0.0,0.0,0.0,6.06,9.09,-3.03,0.0,0.0,0.0,0.0,51.52
local,Qwen/Qwen3.5-4B,imp,0.0,0.0,0.0,3.57,7.14,-3.57,0.0,0.0,0.0,0.0,85.71
local,Qwen/Qwen3.5-4B,stlc,0.0,18.18,-18.18,66.67,69.7,-3.03,0.0,0.0,0.0,0.0,18.18
local,Qwen/Qwen3.5-4B-Base,fun,0.0,0.0,0.0,6.06,3.03,3.03,0.0,0.0,0.0,0.0,57.58
local,Qwen/Qwen3.5-4B-Base,imp,0.0,0.0,0.0,3.57,3.57,0.0,0.0,0.0,0.0,0.0,85.71
local,Qwen/Qwen3.5-4B-Base,stlc,0.0,30.3,-30.3,54.55,69.7,-15.15,0.0,0.0,0.0,0.0,15.15
local,Qwen/Qwen3.5-9B,fun,0.0,0.0,0.0,6.06,6.06,0.0,0.0,0.0,0.0,0.0,45.45
local,Qwen/Qwen3.5-9B,imp,0.0,0.0,0.0,0.0,14.29,-14.29,0.0,0.0,0.0,0.0,75.0
local,Qwen/Qwen3.5-9B,stlc,0.0,36.36,-36.36,78.79,84.85,-6.06,0.0,0.0,0.0,0.0,3.03
local,Qwen/Qwen3.5-9B-Base,fun,0.0,0.0,0.0,6.06,6.06,0.0,0.0,0.0,0.0,0.0,45.45
local,Qwen/Qwen3.5-9B-Base,imp,0.0,7.14,-7.14,3.57,10.71,-7.14,0.0,0.0,0.0,0.0,78.57
local,Qwen/Qwen3.5-9B-Base,stlc,0.0,39.39,-39.39,84.85,78.79,6.06,0.0,0.0,0.0,0.0,6.06
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.97
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,0.0,0.0,0.0,7.14,0.0,7.14,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,microsoft/Phi-4-mini-instruct,fun,0.0,15.15,-15.15,33.33,33.33,0.0,0.0,0.0,0.0,0.0,33.33
local,microsoft/Phi-4-mini-instruct,imp,0.0,10.71,-10.71,17.86,21.43,-3.57,0.0,0.0,0.0,0.0,64.29
local,microsoft/Phi-4-mini-instruct,stlc,0.0,15.15,-15.15,36.36,36.36,0.0,0.0,0.0,0.0,0.0,39.39
