backend,model,language,category,constrained_exact,unconstrained_exact,exact_delta,constrained_pass_rate,unconstrained_pass_rate,pass_rate_delta,constrained_parse_error,unconstrained_parse_error,parse_error_delta,constrained_non_completable,unconstrained_non_completable
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_arithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_composition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_float,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,fun,fun:function_higher_order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:arithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:assignment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,imp,imp:branching,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
