backend,model,mode,language,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,unconstrained,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,unconstrained,fun,33,0.0,0.0,0.0,0.0,87.88,0.0,12.12,0.0,0.0,106.42,3.58
local,Qwen/Qwen3.5-0.8B,unconstrained,imp,28,0.0,0.0,0.0,0.0,85.71,0.0,14.29,0.0,0.0,114.04,3.82
local,Qwen/Qwen3.5-0.8B,unconstrained,stlc,33,3.03,3.03,3.03,0.0,78.79,0.0,18.18,0.0,0.0,61.15,2.13
local,Qwen/Qwen3.5-1.5B,unconstrained,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,unconstrained,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,unconstrained,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-2B,unconstrained,fun,33,3.03,6.06,6.06,0.0,42.42,3.03,48.48,0.0,0.0,122.03,4.17
local,Qwen/Qwen3.5-2B,unconstrained,imp,28,3.57,3.57,3.57,0.0,78.57,0.0,17.86,0.0,0.0,124.89,4.25
local,Qwen/Qwen3.5-2B,unconstrained,stlc,33,6.06,15.15,15.15,0.0,57.58,0.0,27.27,0.0,0.0,73.24,2.54
local,Qwen/Qwen3.5-4B,unconstrained,fun,33,0.0,9.09,9.09,0.0,51.52,0.0,39.39,0.0,0.0,103.21,4.81
local,Qwen/Qwen3.5-4B,unconstrained,imp,28,0.0,7.14,7.14,0.0,85.71,0.0,7.14,0.0,0.0,100.43,4.67
local,Qwen/Qwen3.5-4B,unconstrained,stlc,33,18.18,69.7,69.7,0.0,18.18,0.0,12.12,0.0,0.0,61.06,2.92
local,Qwen/Qwen3.5-4B-Base,unconstrained,fun,33,0.0,3.03,3.03,0.0,57.58,0.0,39.39,0.0,0.0,60.24,2.97
local,Qwen/Qwen3.5-4B-Base,unconstrained,imp,28,0.0,3.57,3.57,0.0,85.71,0.0,10.71,0.0,0.0,33.25,1.82
local,Qwen/Qwen3.5-4B-Base,unconstrained,stlc,33,30.3,69.7,69.7,0.0,15.15,0.0,15.15,0.0,0.0,29.12,1.62
local,Qwen/Qwen3.5-9B,unconstrained,fun,33,0.0,6.06,6.06,0.0,45.45,0.0,48.48,0.0,0.0,99.82,4.75
local,Qwen/Qwen3.5-9B,unconstrained,imp,28,0.0,14.29,14.29,0.0,75.0,0.0,10.71,0.0,0.0,95.89,4.55
local,Qwen/Qwen3.5-9B,unconstrained,stlc,33,36.36,84.85,84.85,0.0,3.03,0.0,12.12,0.0,0.0,60.12,2.94
local,Qwen/Qwen3.5-9B-Base,unconstrained,fun,33,0.0,6.06,6.06,0.0,45.45,0.0,48.48,0.0,0.0,33.15,1.74
local,Qwen/Qwen3.5-9B-Base,unconstrained,imp,28,7.14,10.71,10.71,0.0,78.57,3.57,7.14,0.0,0.0,41.61,2.11
local,Qwen/Qwen3.5-9B-Base,unconstrained,stlc,33,39.39,78.79,78.79,0.0,6.06,0.0,15.15,0.0,0.0,12.12,0.78
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,unconstrained,fun,33,0.0,0.0,0.0,0.0,96.97,0.0,3.03,0.0,0.0,99.24,2.25
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,unconstrained,imp,28,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,83.75,1.91
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,unconstrained,stlc,33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,72.97,1.65
local,microsoft/Phi-4-mini-instruct,unconstrained,fun,33,15.15,33.33,33.33,0.0,33.33,0.0,33.33,0.0,0.0,20.15,0.57
local,microsoft/Phi-4-mini-instruct,unconstrained,imp,28,10.71,21.43,21.43,0.0,64.29,0.0,14.29,0.0,0.0,39.89,1.1
local,microsoft/Phi-4-mini-instruct,unconstrained,stlc,33,15.15,36.36,36.36,0.0,39.39,0.0,24.24,0.0,0.0,21.03,0.59
