backend,model,mode,language,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_direct,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_direct,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,92.73,4.27
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,28,0.0,3.57,3.57,0.0,0.0,67.86,28.57,0.0,0.0,34.07,1.51
local,Qwen/Qwen3.5-0.8B,constrained_direct,stlc,33,0.0,6.06,6.06,0.0,0.0,36.36,57.58,0.0,0.0,21.79,1.13
local,Qwen/Qwen3.5-1.5B,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_direct,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_direct,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-2B,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,62.97,11.22
local,Qwen/Qwen3.5-2B,constrained_direct,imp,28,0.0,3.57,3.57,0.0,0.0,82.14,14.29,0.0,0.0,42.46,2.36
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,33,0.0,9.09,9.09,0.0,0.0,54.55,36.36,0.0,0.0,28.03,1.8
local,Qwen/Qwen3.5-4B,constrained_direct,fun,33,0.0,6.06,6.06,0.0,0.0,87.88,6.06,0.0,0.0,67.3,7.27
local,Qwen/Qwen3.5-4B,constrained_direct,imp,28,0.0,3.57,3.57,0.0,0.0,53.57,42.86,0.0,0.0,47.79,2.73
local,Qwen/Qwen3.5-4B,constrained_direct,stlc,33,0.0,66.67,66.67,0.0,0.0,12.12,21.21,0.0,0.0,16.09,1.08
local,Qwen/Qwen3.5-4B-Base,constrained_direct,fun,33,0.0,6.06,6.06,0.0,0.0,90.91,3.03,0.0,0.0,56.76,5.65
local,Qwen/Qwen3.5-4B-Base,constrained_direct,imp,28,0.0,3.57,3.57,0.0,0.0,60.71,35.71,0.0,0.0,40.04,2.43
local,Qwen/Qwen3.5-4B-Base,constrained_direct,stlc,33,0.0,54.55,54.55,0.0,0.0,21.21,24.24,0.0,0.0,11.58,0.81
local,Qwen/Qwen3.5-9B,constrained_direct,fun,33,0.0,6.06,6.06,0.0,0.0,81.82,12.12,0.0,0.0,69.27,8.58
local,Qwen/Qwen3.5-9B,constrained_direct,imp,28,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,71.82,4.25
local,Qwen/Qwen3.5-9B,constrained_direct,stlc,33,0.0,78.79,78.79,0.0,0.0,9.09,12.12,0.0,0.0,12.58,0.89
local,Qwen/Qwen3.5-9B-Base,constrained_direct,fun,33,0.0,6.06,6.06,0.0,0.0,90.91,3.03,0.0,0.0,87.12,10.85
local,Qwen/Qwen3.5-9B-Base,constrained_direct,imp,28,0.0,3.57,3.57,0.0,0.0,75.0,21.43,0.0,0.0,67.07,4.21
local,Qwen/Qwen3.5-9B-Base,constrained_direct,stlc,33,0.0,84.85,84.85,0.0,0.0,3.03,12.12,0.0,0.0,11.15,0.77
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_direct,fun,33,0.0,0.0,0.0,0.0,0.0,96.97,3.03,0.0,0.0,61.55,29.13
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_direct,imp,28,0.0,7.14,7.14,0.0,0.0,50.0,42.86,0.0,0.0,16.89,6.4
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_direct,stlc,33,0.0,0.0,0.0,0.0,0.0,69.7,30.3,0.0,0.0,7.39,6.8
local,microsoft/Phi-4-mini-instruct,constrained_direct,fun,33,0.0,33.33,33.33,0.0,0.0,54.55,12.12,0.0,0.0,60.61,19.36
local,microsoft/Phi-4-mini-instruct,constrained_direct,imp,28,0.0,17.86,17.86,0.0,0.0,64.29,17.86,0.0,0.0,57.5,4.79
local,microsoft/Phi-4-mini-instruct,constrained_direct,stlc,33,0.0,36.36,36.36,0.0,0.0,36.36,27.27,0.0,0.0,14.42,2.17
