backend,model,mode,language,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_mixed,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_mixed,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Ministral-3-8B-Instruct-2512-GGUF,constrained_mixed,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_mixed,fun,33,0.0,6.06,6.06,0.0,0.0,78.79,15.15,0.0,0.0,68.15,20.53
local,Qwen/Qwen3.5-0.8B,constrained_mixed,imp,28,0.0,7.14,7.14,0.0,0.0,50.0,42.86,0.0,0.0,40.21,2.26
local,Qwen/Qwen3.5-0.8B,constrained_mixed,stlc,33,0.0,9.09,9.09,0.0,0.0,51.52,39.39,0.0,0.0,30.3,1.93
local,Qwen/Qwen3.5-1.5B,constrained_mixed,fun,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_mixed,imp,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-1.5B,constrained_mixed,stlc,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-2B,constrained_mixed,fun,33,0.0,6.06,6.06,0.0,0.0,93.94,0.0,0.0,0.0,205.24,20.69
local,Qwen/Qwen3.5-2B,constrained_mixed,imp,28,0.0,14.29,14.29,0.0,0.0,35.71,50.0,0.0,0.0,154.39,6.07
local,Qwen/Qwen3.5-2B,constrained_mixed,stlc,33,0.0,21.21,21.21,0.0,0.0,63.64,15.15,0.0,0.0,147.94,6.51
local,Qwen/Qwen3.5-4B,constrained_mixed,fun,33,0.0,6.06,6.06,0.0,0.0,81.82,12.12,0.0,0.0,86.58,28.58
local,Qwen/Qwen3.5-4B,constrained_mixed,imp,28,0.0,17.86,17.86,0.0,0.0,32.14,50.0,0.0,0.0,55.18,3.82
local,Qwen/Qwen3.5-4B,constrained_mixed,stlc,33,0.0,6.06,6.06,0.0,0.0,87.88,6.06,0.0,0.0,54.18,6.3
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,fun,33,0.0,18.18,18.18,0.0,0.0,75.76,6.06,0.0,0.0,222.09,20.76
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,imp,28,0.0,7.14,7.14,0.0,0.0,60.71,32.14,0.0,0.0,205.07,11.06
local,Qwen/Qwen3.5-4B-Base,constrained_mixed,stlc,33,0.0,27.27,27.27,0.0,0.0,72.73,0.0,0.0,0.0,165.06,8.93
local,Qwen/Qwen3.5-9B,constrained_mixed,fun,33,0.0,15.15,15.15,0.0,0.0,63.64,21.21,0.0,0.0,47.12,14.16
local,Qwen/Qwen3.5-9B,constrained_mixed,imp,28,0.0,14.29,14.29,0.0,0.0,35.71,50.0,0.0,0.0,51.75,3.82
local,Qwen/Qwen3.5-9B,constrained_mixed,stlc,33,0.0,51.52,51.52,0.0,0.0,36.36,12.12,0.0,0.0,66.76,4.09
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,fun,33,0.0,24.24,24.24,0.0,0.0,45.45,30.3,0.0,0.0,174.94,30.84
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,imp,28,0.0,14.29,14.29,0.0,0.0,39.29,46.43,0.0,0.0,190.11,10.08
local,Qwen/Qwen3.5-9B-Base,constrained_mixed,stlc,33,0.0,51.52,51.52,0.0,0.0,36.36,12.12,0.0,0.0,153.94,8.12
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_mixed,fun,33,0.0,3.03,3.03,0.0,0.0,96.97,0.0,0.0,0.0,117.7,10.35
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_mixed,imp,28,0.0,7.14,7.14,0.0,0.0,64.29,28.57,0.0,0.0,141.71,7.63
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,constrained_mixed,stlc,33,0.0,3.03,3.03,0.0,0.0,87.88,9.09,0.0,0.0,130.03,4.44
local,microsoft/Phi-4-mini-instruct,constrained_mixed,fun,33,0.0,18.18,18.18,0.0,0.0,54.55,27.27,0.0,0.0,177.52,13.38
local,microsoft/Phi-4-mini-instruct,constrained_mixed,imp,28,0.0,28.57,28.57,0.0,0.0,21.43,50.0,0.0,0.0,138.96,4.3
local,microsoft/Phi-4-mini-instruct,constrained_mixed,stlc,33,0.0,36.36,36.36,0.0,0.0,45.45,18.18,0.0,0.0,150.82,15.76
